start,end,length,regime
2025-03-03,2025-03-21,15,high
2025-03-24,2025-03-27,4,mid
2025-03-28,2025-05-09,30,high
2025-05-12,2025-05-22,9,mid
2025-05-23,2025-05-29,5,high
2025-05-30,2025-06-16,12,mid
2025-06-17,2025-06-23,5,high
2025-06-24,2025-10-09,78,mid
2025-10-10,2025-10-17,6,high
2025-10-20,2025-10-31,10,mid
