model,H,strategy,tau,phase,use_non_overlapping,regime,n_obs,mean_log_ret,std_log_ret,sharpe_ann,max_drawdown,hit_rate
Ridge,1,model,0.001,0,TRUE,high,388,0.000614385,0.003818869,2.553915405,-0.041627961,0.270618557
Ridge,1,model,0.001,0,TRUE,low,219,-7.37E-05,0.001179401,-0.992232954,-0.021142262,0.03652968
Ridge,1,model,0.001,0,TRUE,mid,411,0.00016545,0.00195759,1.341665303,-0.032527065,0.121654501
XGBoost,1,model,0,0,TRUE,high,388,0.000174091,0.005671214,0.487304117,-0.168414981,0.487113402
XGBoost,1,model,0,0,TRUE,low,219,-9.95E-05,0.003498334,-0.451334591,-0.043392411,0.484018265
XGBoost,1,model,0,0,TRUE,mid,411,-0.00010551,0.004101273,-0.408389273,-0.087482424,0.498783455
XGBoost,1,model,0.0005,0,TRUE,high,388,0.000260231,0.004053256,1.019190056,-0.053216242,0.206185567
XGBoost,1,model,0.0005,0,TRUE,low,219,1.20E-05,0.000122584,1.553255569,-0.000107594,0.01826484
XGBoost,1,model,0.0005,0,TRUE,mid,411,-3.53E-05,0.000645597,-0.867058173,-0.018651332,0.01946472
XGBoost,1,model,0.001,0,TRUE,high,388,0.000229023,0.002874119,1.264954152,-0.040740693,0.077319588
XGBoost,1,model,0.001,0,TRUE,low,219,0,0,,0,0
XGBoost,1,model,0.001,0,TRUE,mid,411,-3.67E-07,0.000236657,-0.024638282,-0.003456346,0.00243309
BASELINE,5,always_long,0,0,TRUE,high,76,-0.000376481,0.012579279,-0.212472652,-0.176289458,0.421052632
BASELINE,5,always_long,0,0,TRUE,low,45,0.00075787,0.008797648,0.611566199,-0.029892619,0.6
BASELINE,5,always_long,0,0,TRUE,mid,83,0.00043845,0.008745702,0.355910529,-0.054762649,0.481927711
BASELINE,5,always_long,0,1,TRUE,high,80,-0.000233173,0.012615268,-0.13121916,-0.173622525,0.525
BASELINE,5,always_long,0,1,TRUE,low,44,0.00045903,0.008442553,0.385995767,-0.034546158,0.590909091
BASELINE,5,always_long,0,1,TRUE,mid,80,0.000412993,0.008793565,0.33342123,-0.073491309,0.475
BASELINE,5,always_long,0,2,TRUE,high,79,0.000133099,0.011123523,0.084946788,-0.152495466,0.518987342
BASELINE,5,always_long,0,2,TRUE,low,43,0.000113892,0.007146573,0.113139043,-0.029151686,0.581395349
BASELINE,5,always_long,0,2,TRUE,mid,82,0.000262268,0.009331103,0.199538799,-0.098123692,0.487804878
BASELINE,5,always_long,0,3,TRUE,high,77,0.000237167,0.011964726,0.140723754,-0.144263986,0.532467532
BASELINE,5,always_long,0,3,TRUE,low,43,0.000703272,0.008037827,0.621154728,-0.03030303,0.604651163
BASELINE,5,always_long,0,3,TRUE,mid,83,-0.000111974,0.008583857,-0.092608647,-0.095490293,0.542168675
BASELINE,5,always_long,0,4,TRUE,high,76,8.34E-05,0.012109642,0.048872458,-0.155203989,0.526315789
BASELINE,5,always_long,0,4,TRUE,low,44,0.00032514,0.008571012,0.269310721,-0.032901103,0.5
BASELINE,5,always_long,0,4,TRUE,mid,83,0.000249548,0.008414513,0.210542431,-0.062969439,0.481927711
BASELINE,5,always_short,0,0,TRUE,high,76,0.000376481,0.012579279,0.212472652,-0.156036969,0.578947368
BASELINE,5,always_short,0,0,TRUE,low,45,-0.00075787,0.008797648,-0.611566199,-0.068994281,0.4
BASELINE,5,always_short,0,0,TRUE,mid,83,-0.00043845,0.008745702,-0.355910529,-0.062904919,0.506024096
BASELINE,5,always_short,0,1,TRUE,high,80,0.000233173,0.012615268,0.13121916,-0.154952005,0.4625
BASELINE,5,always_short,0,1,TRUE,low,44,-0.00045903,0.008442553,-0.385995767,-0.054472231,0.386363636
BASELINE,5,always_short,0,1,TRUE,mid,80,-0.000412993,0.008793565,-0.33342123,-0.081793194,0.5125
BASELINE,5,always_short,0,2,TRUE,high,79,-0.000133099,0.011123523,-0.084946788,-0.15734204,0.46835443
BASELINE,5,always_short,0,2,TRUE,low,43,-0.000113892,0.007146573,-0.113139043,-0.0494503,0.418604651
BASELINE,5,always_short,0,2,TRUE,mid,82,-0.000262268,0.009331103,-0.199538799,-0.101784597,0.5
BASELINE,5,always_short,0,3,TRUE,high,77,-0.000237167,0.011964726,-0.140723754,-0.155406004,0.467532468
BASELINE,5,always_short,0,3,TRUE,low,43,-0.000703272,0.008037827,-0.621154728,-0.065451375,0.395348837
BASELINE,5,always_short,0,3,TRUE,mid,83,0.000111974,0.008583857,0.092608647,-0.061093383,0.457831325
BASELINE,5,always_short,0,4,TRUE,high,76,-8.34E-05,0.012109642,-0.048872458,-0.157267673,0.460526316
BASELINE,5,always_short,0,4,TRUE,low,44,-0.00032514,0.008571012,-0.269310721,-0.053870924,0.5
BASELINE,5,always_short,0,4,TRUE,mid,83,-0.000249548,0.008414513,-0.210542431,-0.056598042,0.518072289
BASELINE,5,cash,0,0,TRUE,high,76,0,0,,0,0
BASELINE,5,cash,0,0,TRUE,low,45,0,0,,0,0
BASELINE,5,cash,0,0,TRUE,mid,83,0,0,,0,0
BASELINE,5,cash,0,1,TRUE,high,80,0,0,,0,0
BASELINE,5,cash,0,1,TRUE,low,44,0,0,,0,0
BASELINE,5,cash,0,1,TRUE,mid,80,0,0,,0,0
BASELINE,5,cash,0,2,TRUE,high,79,0,0,,0,0
BASELINE,5,cash,0,2,TRUE,low,43,0,0,,0,0
BASELINE,5,cash,0,2,TRUE,mid,82,0,0,,0,0
BASELINE,5,cash,0,3,TRUE,high,77,0,0,,0,0
BASELINE,5,cash,0,3,TRUE,low,43,0,0,,0,0
BASELINE,5,cash,0,3,TRUE,mid,83,0,0,,0,0
BASELINE,5,cash,0,4,TRUE,high,76,0,0,,0,0
BASELINE,5,cash,0,4,TRUE,low,44,0,0,,0,0
BASELINE,5,cash,0,4,TRUE,mid,83,0,0,,0,0
ElasticNet,5,model,0,0,TRUE,high,76,-0.000376481,0.012579279,-0.212472652,-0.176289458,0.421052632
ElasticNet,5,model,0,0,TRUE,low,45,0.00075787,0.008797648,0.611566199,-0.029892619,0.6
ElasticNet,5,model,0,0,TRUE,mid,83,0.00043845,0.008745702,0.355910529,-0.054762649,0.481927711
ElasticNet,5,model,0,1,TRUE,high,80,-0.000233173,0.012615268,-0.13121916,-0.173622525,0.525
ElasticNet,5,model,0,1,TRUE,low,44,0.00045903,0.008442553,0.385995767,-0.034546158,0.590909091
ElasticNet,5,model,0,1,TRUE,mid,80,0.000412993,0.008793565,0.33342123,-0.073491309,0.475
ElasticNet,5,model,0,2,TRUE,high,79,0.000133099,0.011123523,0.084946788,-0.152495466,0.518987342
ElasticNet,5,model,0,2,TRUE,low,43,0.000113892,0.007146573,0.113139043,-0.029151686,0.581395349
ElasticNet,5,model,0,2,TRUE,mid,82,0.000262268,0.009331103,0.199538799,-0.098123692,0.487804878
ElasticNet,5,model,0,3,TRUE,high,77,0.000237167,0.011964726,0.140723754,-0.144263986,0.532467532
ElasticNet,5,model,0,3,TRUE,low,43,0.000703272,0.008037827,0.621154728,-0.03030303,0.604651163
ElasticNet,5,model,0,3,TRUE,mid,83,-0.000111974,0.008583857,-0.092608647,-0.095490293,0.542168675
ElasticNet,5,model,0,4,TRUE,high,76,8.34E-05,0.012109642,0.048872458,-0.155203989,0.526315789
ElasticNet,5,model,0,4,TRUE,low,44,0.00032514,0.008571012,0.269310721,-0.032901103,0.5
ElasticNet,5,model,0,4,TRUE,mid,83,0.000249548,0.008414513,0.210542431,-0.062969439,0.481927711
ElasticNet,5,model,0.0005,0,TRUE,high,76,0,0,,0,0
ElasticNet,5,model,0.0005,0,TRUE,low,45,0,0,,0,0
ElasticNet,5,model,0.0005,0,TRUE,mid,83,0,0,,0,0
ElasticNet,5,model,0.0005,1,TRUE,high,80,0,0,,0,0
ElasticNet,5,model,0.0005,1,TRUE,low,44,0,0,,0,0
ElasticNet,5,model,0.0005,1,TRUE,mid,80,0,0,,0,0
ElasticNet,5,model,0.0005,2,TRUE,high,79,0,0,,0,0
ElasticNet,5,model,0.0005,2,TRUE,low,43,0,0,,0,0
ElasticNet,5,model,0.0005,2,TRUE,mid,82,0,0,,0,0
ElasticNet,5,model,0.0005,3,TRUE,high,77,0,0,,0,0
ElasticNet,5,model,0.0005,3,TRUE,low,43,0,0,,0,0
