model,H,method,feature,importance_mean
ElasticNet,10,permutation,GDP,0.0
ElasticNet,10,permutation,GER_10Y,0.0
ElasticNet,10,permutation,GER_3M,0.0
ElasticNet,10,permutation,GER_Mkt_Index,0.0
ElasticNet,10,permutation,GER_TermSpread,0.0
ElasticNet,10,permutation,GOLD,0.0
ElasticNet,10,permutation,HK_Mkt_Index,0.0
ElasticNet,10,permutation,JP_10Y,0.0
ElasticNet,10,permutation,JP_CPI,0.0
ElasticNet,10,permutation,JP_Mkt_Index,0.0
ElasticNet,10,permutation,MA_gap_20,0.0
ElasticNet,10,permutation,MA_gap_5,0.0
ElasticNet,10,permutation,MA_gap_60,0.0
ElasticNet,10,permutation,Output_Gap,0.0
ElasticNet,10,permutation,UK_10Y,0.0
ElasticNet,10,permutation,UK_3M,0.0
ElasticNet,10,permutation,UK_Mkt_Index,0.0
ElasticNet,10,permutation,UK_TermSpread,0.0
ElasticNet,10,permutation,USD_CNY,0.0
ElasticNet,10,permutation,USD_EUR,0.0
ElasticNet,10,permutation,USD_Futures,0.0
ElasticNet,10,permutation,USD_GBP,0.0
ElasticNet,10,permutation,USD_JPY,0.0
ElasticNet,10,permutation,US_10Y,0.0
ElasticNet,10,permutation,US_3M,0.0
ElasticNet,10,permutation,US_CPI,0.0
ElasticNet,10,permutation,US_Mkt_Index,0.0
ElasticNet,10,permutation,US_TermSpread,0.0
ElasticNet,10,permutation,VIX,0.0
ElasticNet,10,permutation,WTI,0.0
ElasticNet,10,permutation,ret_lag_1,0.0
ElasticNet,10,permutation,ret_lag_10,0.0
ElasticNet,10,permutation,ret_lag_2,0.0
ElasticNet,10,permutation,ret_lag_20,0.0
ElasticNet,10,permutation,ret_lag_5,0.0
ElasticNet,20,permutation,BBW_20,-9.376883653928688e-20
ElasticNet,20,permutation,BBW_5,-9.376883653928688e-20
ElasticNet,20,permutation,BBW_60,-9.376883653928688e-20
ElasticNet,20,permutation,CN_10Y,-9.376883653928688e-20
ElasticNet,20,permutation,CN_CPI,-9.376883653928688e-20
