model,H,strategy,tau,use_non_overlapping,is_baseline,sharpe_ann_mean,sharpe_ann_median,sharpe_ann_min,sharpe_ann_max,mean_log_ret_mean,mean_log_ret_median,mean_log_ret_min,mean_log_ret_max,max_drawdown_mean,max_drawdown_median,max_drawdown_min,max_drawdown_max,hit_rate_mean,hit_rate_median,hit_rate_min,hit_rate_max,turnover_mean,turnover_median,turnover_min,turnover_max,n_obs_mean,n_obs_median,n_obs_min,n_obs_max
BASELINE,1,always_long,0,TRUE,TRUE,0.12921678,0.12921678,0.12921678,0.12921678,3.79E-05,3.79E-05,3.79E-05,3.79E-05,-0.153185523,-0.153185523,-0.153185523,-0.153185523,0.509823183,0.509823183,0.509823183,0.509823183,0,0,0,0,1018,1018,1018,1018
BASELINE,1,always_short,0,TRUE,TRUE,-0.12921678,-0.12921678,-0.12921678,-0.12921678,-3.79E-05,-3.79E-05,-3.79E-05,-3.79E-05,-0.169310315,-0.169310315,-0.169310315,-0.169310315,0.463654224,0.463654224,0.463654224,0.463654224,0,0,0,0,1018,1018,1018,1018
BASELINE,1,cash,0,TRUE,TRUE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018,1018,1018,1018
BASELINE,5,always_long,0,TRUE,TRUE,0.135073727,0.139010888,0.11622243,0.14547255,0.000190533,0.000193146,0.000169524,0.000205309,-0.146825066,-0.147206778,-0.15179667,-0.142123439,0.515739399,0.519607843,0.485294118,0.551724138,0,0,0,0,203.6,204,203,204
BASELINE,5,always_short,0,TRUE,TRUE,-0.135073727,-0.139010888,-0.14547255,-0.11622243,-0.000190533,-0.000193146,-0.000205309,-0.000169524,-0.162049851,-0.162036631,-0.165118317,-0.160091784,0.477393026,0.470588235,0.448275862,0.509803922,0,0,0,0,203.6,204,203,204
BASELINE,5,cash,0,TRUE,TRUE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.6,204,203,204
BASELINE,10,always_long,0,TRUE,TRUE,0.125441578,0.120469866,0.10726676,0.150634119,0.000351442,0.000347961,0.000283872,0.000410617,-0.141945568,-0.141141062,-0.151007888,-0.133327388,0.510861969,0.514705882,0.470588235,0.544554455,0,0,0,0,101.8,102,101,102
BASELINE,10,always_short,0,TRUE,TRUE,-0.125441578,-0.120469866,-0.150634119,-0.10726676,-0.000351442,-0.000347961,-0.000410617,-0.000283872,-0.15671869,-0.158234508,-0.165118317,-0.147239811,0.486196855,0.485294118,0.455445545,0.529411765,0,0,0,0,101.8,102,101,102
BASELINE,10,cash,0,TRUE,TRUE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.8,102,101,102
BASELINE,20,always_long,0,TRUE,TRUE,0.122503092,0.12477262,0.100638649,0.155963597,0.000701165,0.000716682,0.000567743,0.000856225,-0.136624681,-0.138087885,-0.145529962,-0.123933543,0.506901961,0.504901961,0.450980392,0.549019608,0,0,0,0,50.9,51,50,51
BASELINE,20,always_short,0,TRUE,TRUE,-0.122503092,-0.12477262,-0.155963597,-0.100638649,-0.000701165,-0.000716682,-0.000856225,-0.000567743,-0.151352623,-0.149989192,-0.165118317,-0.138482263,0.490156863,0.495098039,0.431372549,0.549019608,0,0,0,0,50.9,51,50,51
BASELINE,20,cash,0,TRUE,TRUE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.9,51,50,51
ElasticNet,1,model,0,TRUE,FALSE,0.716690044,0.716690044,0.716690044,0.716690044,0.000209881,0.000209881,0.000209881,0.000209881,-0.146058508,-0.146058508,-0.146058508,-0.146058508,0.510805501,0.510805501,0.510805501,0.510805501,0.893909627,0.893909627,0.893909627,0.893909627,1018,1018,1018,1018
ElasticNet,1,model,0.0005,TRUE,FALSE,1.477077408,1.477077408,1.477077408,1.477077408,0.000278743,0.000278743,0.000278743,0.000278743,-0.090905319,-0.090905319,-0.090905319,-0.090905319,0.184675835,0.184675835,0.184675835,0.184675835,0.429273084,0.429273084,0.429273084,0.429273084,1018,1018,1018,1018
ElasticNet,1,model,0.001,TRUE,FALSE,0.975495221,0.975495221,0.975495221,0.975495221,0.000115259,0.000115259,0.000115259,0.000115259,-0.031496023,-0.031496023,-0.031496023,-0.031496023,0.057956778,0.057956778,0.057956778,0.057956778,0.135559921,0.135559921,0.135559921,0.135559921,1018,1018,1018,1018
ElasticNet,5,model,0,TRUE,FALSE,0.135073727,0.139010888,0.11622243,0.14547255,0.000190533,0.000193146,0.000169524,0.000205309,-0.146825066,-0.147206778,-0.15179667,-0.142123439,0.515739399,0.519607843,0.485294118,0.551724138,0,0,0,0,203.6,204,203,204
ElasticNet,5,model,0.0005,TRUE,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.6,204,203,204
ElasticNet,5,model,0.001,TRUE,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.6,204,203,204
ElasticNet,10,model,0,TRUE,FALSE,0.125441578,0.120469866,0.10726676,0.150634119,0.000351442,0.000347961,0.000283872,0.000410617,-0.141945568,-0.141141062,-0.151007888,-0.133327388,0.510861969,0.514705882,0.470588235,0.544554455,0,0,0,0,101.8,102,101,102
ElasticNet,10,model,0.0005,TRUE,FALSE,-0.018053573,0.067313295,-0.833856219,0.711320078,-1.61E-05,3.12E-05,-0.000350045,0.000156664,-0.021188469,-0.021647342,-0.039268806,-1.00E-04,0.01474471,0.019607843,0,0.029411765,0.019646671,0.019607843,0.019607843,0.01980198,101.8,102,101,102
ElasticNet,10,model,0.001,TRUE,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.8,102,101,102
ElasticNet,20,model,0,TRUE,FALSE,0.122503092,0.12477262,0.100638649,0.155963597,0.000701165,0.000716682,0.000567743,0.000856225,-0.136624681,-0.138087885,-0.145529962,-0.123933543,0.506901961,0.504901961,0.450980392,0.549019608,0,0,0,0,50.9,51,50,51
ElasticNet,20,model,0.0005,TRUE,FALSE,0.067221534,0.037805449,0.006683206,0.196122784,0.000361644,0.000203373,3.97E-05,0.001017663,-0.114197795,-0.113975261,-0.129173057,-0.100597521,0.397843137,0.4,0.352941176,0.431372549,0.039294118,0.039215686,0.039215686,0.04,50.9,51,50,51
ElasticNet,20,model,0.001,TRUE,FALSE,0.068181207,0.122778617,-0.501820738,0.606960997,-1.13E-05,0.000167534,-0.000792246,0.000563287,-0.023588167,-0.021615218,-0.062047732,-1.00E-04,0.019647059,0.019607843,0,0.039215686,0.039294118,0.039215686,0.039215686,0.04,50.9,51,50,51
Lasso,1,model,0,TRUE,FALSE,0.918008586,0.918008586,0.918008586,0.918008586,0.000268708,0.000268708,0.000268708,0.000268708,-0.139848119,-0.139848119,-0.139848119,-0.139848119,0.518664047,0.518664047,0.518664047,0.518664047,0.933202358,0.933202358,0.933202358,0.933202358,1018,1018,1018,1018
Lasso,1,model,0.0005,TRUE,FALSE,1.058884339,1.058884339,1.058884339,1.058884339,0.000184027,0.000184027,0.000184027,0.000184027,-0.089157127,-0.089157127,-0.089157127,-0.089157127,0.13064833,0.13064833,0.13064833,0.13064833,0.311394892,0.311394892,0.311394892,0.311394892,1018,1018,1018,1018
Lasso,1,model,0.001,TRUE,FALSE,0.892739284,0.892739284,0.892739284,0.892739284,8.85E-05,8.85E-05,8.85E-05,8.85E-05,-0.02136264,-0.02136264,-0.02136264,-0.02136264,0.026522593,0.026522593,0.026522593,0.026522593,0.064833006,0.064833006,0.064833006,0.064833006,1018,1018,1018,1018
Lasso,5,model,0,TRUE,FALSE,0.135073727,0.139010888,0.11622243,0.14547255,0.000190533,0.000193146,0.000169524,0.000205309,-0.146825066,-0.147206778,-0.15179667,-0.142123439,0.515739399,0.519607843,0.485294118,0.551724138,0,0,0,0,203.6,204,203,204
Lasso,5,model,0.0005,TRUE,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.6,204,203,204
Lasso,5,model,0.001,TRUE,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.6,204,203,204
Lasso,10,model,0,TRUE,FALSE,0.125441578,0.120469866,0.10726676,0.150634119,0.000351442,0.000347961,0.000283872,0.000410617,-0.141945568,-0.141141062,-0.151007888,-0.133327388,0.510861969,0.514705882,0.470588235,0.544554455,0,0,0,0,101.8,102,101,102
Lasso,10,model,0.0005,TRUE,FALSE,-0.018053573,0.067313295,-0.833856219,0.711320078,-1.61E-05,3.12E-05,-0.000350045,0.000156664,-0.021188469,-0.021647342,-0.039268806,-1.00E-04,0.01474471,0.019607843,0,0.029411765,0.019646671,0.019607843,0.019607843,0.01980198,101.8,102,101,102
Lasso,10,model,0.001,TRUE,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.8,102,101,102
Lasso,20,model,0,TRUE,FALSE,0.122503092,0.12477262,0.100638649,0.155963597,0.000701165,0.000716682,0.000567743,0.000856225,-0.136624681,-0.138087885,-0.145529962,-0.123933543,0.506901961,0.504901961,0.450980392,0.549019608,0,0,0,0,50.9,51,50,51
