model,H,strategy,tau,phase,use_non_overlapping,is_baseline,n_obs,mean_log_ret,std_log_ret,sharpe_ann,max_drawdown,hit_rate,turnover,tc_bps,allow_short,annual_scale,annualize_mode
ElasticNet,20,model,0,10,TRUE,FALSE,51,0.000825063,0.021884742,0.133823109,-0.136201357,0.470588235,0,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0,11,TRUE,FALSE,51,0.000766528,0.020707829,0.131394961,-0.133327388,0.549019608,0,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0,12,TRUE,FALSE,51,0.000719616,0.020396924,0.125233815,-0.141795008,0.549019608,0,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0,13,TRUE,FALSE,51,0.000723972,0.020541142,0.12510726,-0.136428065,0.549019608,0,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0,14,TRUE,FALSE,51,0.000725483,0.020079698,0.128249361,-0.138439792,0.509803922,0,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0,15,TRUE,FALSE,51,0.000605765,0.020479342,0.104996223,-0.144960561,0.470588235,0,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0,16,TRUE,FALSE,51,0.000609827,0.02100661,0.103047069,-0.144246779,0.490196078,0,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0,17,TRUE,FALSE,51,0.000590492,0.019935255,0.105142235,-0.132149201,0.450980392,0,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0,18,TRUE,FALSE,50,0.000773763,0.020852459,0.131715261,-0.131848552,0.54,0,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0,19,TRUE,FALSE,50,0.000856225,0.01948723,0.155963597,-0.12780949,0.5,0,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,0,TRUE,FALSE,51,0.000261027,0.018680599,0.049599722,-0.106666519,0.431372549,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,1,TRUE,FALSE,51,0.000172468,0.01866928,0.032791865,-0.10862879,0.392156863,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,2,TRUE,FALSE,51,0.000164353,0.019148654,0.030466673,-0.106779942,0.411764706,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,3,TRUE,FALSE,51,3.97E-05,0.021083446,0.006683206,-0.123349867,0.411764706,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,4,TRUE,FALSE,51,8.52E-05,0.019357409,0.015621942,-0.120222746,0.411764706,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,5,TRUE,FALSE,51,7.11E-05,0.01889339,0.013363499,-0.120911671,0.37254902,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,6,TRUE,FALSE,51,0.000559572,0.019424426,0.102257069,-0.114644272,0.37254902,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,7,TRUE,FALSE,51,0.000916379,0.018999528,0.171205409,-0.109689375,0.37254902,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,8,TRUE,FALSE,51,0.001017663,0.018418798,0.196122784,-0.104663581,0.431372549,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,9,TRUE,FALSE,51,0.000891605,0.019902169,0.159022025,-0.112081899,0.411764706,0.039215686,1,TRUE,3.54964787,non_overlapping
