feature,importance
US_CPI,0.0018634847075617077
JP_CPI,0.0016670285934166204
MA_gap_60,0.001409431774260854
MA_gap_20,0.0013983752300880195
BBW_60,0.0012806737324879756
US_TermSpread,0.0011597418089710732
Euro_CPI,0.000918688909191003
VIX,0.0007776764348428676
CN_CPI,0.00075954180567642
BBW_20,0.000751606392122396
US_3M,0.0007276566158964031
US_10Y,0.0006259142778111897
Output_Gap,0.0005859299843680119
JP_10Y,0.0005213498264962081
MA_gap_5,0.0005046557171435436
GDP,0.0004992726257348297
CN_10Y,0.0004972470082999013
UK_TermSpread,0.0004887251976224829
GER_3M,0.000447925417933881
GER_TermSpread,0.00035490724020320683
UK_3M,0.0003478917054188843
ret_lag_1,0.0003344427200501453
UK_10Y,0.0002310226506262774
GER_10Y,0.00022650759463695828
BBW_5,0.0002100482009326815
ret_lag_2,0.00018557617023701368
UK_Mkt_Index,0.00013611604001863712
USD_GBP,0.00012865134373499118
GER_Mkt_Index,0.00012653774691554265
USD_CNY,0.00011878760621388882
HK_Mkt_Index,0.00011368698215592119
GOLD,0.00010683328017436657
EPU_D,9.977362945666447e-05
JP_Mkt_Index,9.838223173297418e-05
ret_lag_20,9.298214033225184e-05
WTI,9.207097020776697e-05
USD_EUR,8.948927124154254e-05
ret_lag_5,8.706569005865087e-05
CN_Mkt_Index,8.078860256503323e-05
US_Mkt_Index,7.23163365862057e-05
USD_Futures,6.517630519897959e-05
ret_lag_10,6.450683917458373e-05
USD_JPY,5.9597040060522024e-05
