feature,importance
JP_CPI,1.647696864685161e-05
UK_3M,1.4647504024887376e-05
US_3M,1.3080655344851685e-05
Euro_CPI,7.238559000628461e-06
UK_10Y,7.0717399686063415e-06
GER_TermSpread,5.576967937001576e-06
US_TermSpread,5.003394169960512e-06
BBW_20,4.454667943982332e-06
JP_Mkt_Index,4.3976014615330905e-06
GER_3M,3.606846103431857e-06
USD_Futures,3.3540280344572515e-06
MA_gap_5,2.463663356270379e-06
USD_JPY,2.188464011716393e-06
Output_Gap,1.7829868138828642e-06
GOLD,1.2134930560264712e-06
US_CPI,2.5639177937859803e-07
USD_EUR,1.0188543763528513e-07
ret_lag_10,-5.142355990698372e-07
USD_CNY,-6.74020804074596e-07
VIX,-8.6839668983138e-07
GER_10Y,-1.3862998769174906e-06
ret_lag_2,-1.580215923214362e-06
GER_Mkt_Index,-1.6954237572162911e-06
EPU_D,-1.7488337237542978e-06
UK_TermSpread,-2.394154675894669e-06
CN_CPI,-2.5877900734251613e-06
USD_GBP,-2.937308404031211e-06
WTI,-3.467140715935485e-06
ret_lag_20,-3.528625439348787e-06
ret_lag_5,-3.781292910811501e-06
MA_gap_20,-3.851188844536391e-06
US_Mkt_Index,-4.001354912431046e-06
ret_lag_1,-5.0673666565533015e-06
US_10Y,-5.940190453485733e-06
CN_10Y,-7.061835514793682e-06
GDP,-7.688376357346816e-06
CN_Mkt_Index,-8.445716101130804e-06
MA_gap_60,-9.121180119454897e-06
UK_Mkt_Index,-9.992146994292073e-06
HK_Mkt_Index,-1.2327877115010308e-05
JP_10Y,-1.4049960865609654e-05
BBW_60,-1.6327700034792295e-05
BBW_5,-2.548655674617685e-05
