feature,importance
USD_EUR,0.00031723953458045063
USD_Futures,0.00021952918072744906
ret_lag_1,0.0001081587884818663
US_Mkt_Index,7.552223250106155e-05
US_CPI,7.127569643545443e-05
Euro_CPI,5.595947754939278e-05
MA_gap_5,2.4990429431637727e-05
USD_JPY,2.2797958772954874e-05
USD_GBP,1.5291660400394702e-05
GER_TermSpread,9.51644717364468e-06
CN_Mkt_Index,5.959659188712989e-06
VIX,5.5972974642411535e-06
ret_lag_10,4.764807163039515e-06
US_10Y,2.8269536182746677e-06
BBW_60,2.6126757992394126e-06
GER_Mkt_Index,1.8053702990801501e-06
US_3M,1.6270537296315599e-06
MA_gap_60,1.5518569160917137e-06
UK_10Y,1.4127365386149351e-06
JP_10Y,1.4063983162070776e-06
JP_Mkt_Index,1.3962876651172837e-06
GER_3M,1.3421954001974212e-06
BBW_20,6.299100562138019e-07
UK_3M,5.613320370424432e-07
US_TermSpread,4.4487259226975995e-07
ret_lag_20,2.6537577985964733e-07
MA_gap_20,1.592773814862794e-07
CN_10Y,1.4750315458118834e-07
GER_10Y,8.630429573427967e-08
WTI,7.378083805888169e-08
GDP,5.0307135820819304e-08
Output_Gap,3.351062958113077e-08
CN_CPI,-9.487597989361884e-09
ret_lag_5,-1.2216704787550159e-08
EPU_D,-1.2298559544637183e-07
USD_CNY,-1.5407656180164292e-07
JP_CPI,-2.767652675208024e-07
UK_TermSpread,-1.179447334448587e-06
UK_Mkt_Index,-1.2281035941677856e-06
ret_lag_2,-1.736940444749431e-06
GOLD,-2.4693026092576995e-06
BBW_5,-3.189220752910539e-06
HK_Mkt_Index,-3.2944043599292608e-06
