feature,importance
US_CPI,0.001128906669405766
Euro_CPI,0.0007440369937652402
JP_CPI,0.000552626064827165
Output_Gap,0.00047505284409702503
UK_TermSpread,0.0002211735163365463
MA_gap_60,0.00019754981557571633
US_10Y,0.0001633451578252898
MA_gap_20,0.0001346920475164947
CN_CPI,0.0001299302770381497
JP_10Y,9.960524971821573e-05
BBW_20,8.547615763592614e-05
US_3M,7.025742265738891e-05
UK_10Y,7.019118865420233e-05
GER_TermSpread,6.385834120577367e-05
GDP,4.9022717008897695e-05
BBW_60,4.2808938360092835e-05
CN_10Y,2.744239269100203e-05
GER_3M,2.5542589309712066e-05
BBW_5,2.1878085544034878e-05
US_TermSpread,1.763362108766521e-05
GER_10Y,1.6896591493429508e-05
MA_gap_5,1.2015446442099204e-05
USD_CNY,7.728971042755134e-06
USD_GBP,7.154002808216001e-06
GER_Mkt_Index,5.498198687428971e-06
UK_3M,3.4758309967845846e-06
UK_Mkt_Index,2.673564296454961e-06
WTI,2.4981407683657975e-06
JP_Mkt_Index,1.602361833339186e-06
HK_Mkt_Index,1.14209782009142e-06
CN_Mkt_Index,7.609242789110432e-07
ret_lag_10,1.9588104548454166e-07
ret_lag_5,6.09862053271154e-08
USD_Futures,0.0
USD_EUR,0.0
US_Mkt_Index,0.0
GOLD,0.0
USD_JPY,0.0
EPU_D,0.0
ret_lag_1,0.0
ret_lag_20,0.0
ret_lag_2,0.0
VIX,-7.349590270126424e-06
