feature,importance
US_10Y,0.0052459455419243935
Euro_CPI,0.004450051041297456
BBW_60,0.0032458088223948417
US_CPI,0.002445581297225126
MA_gap_60,0.002441583351639476
CN_CPI,0.0023413719457940404
GDP,0.002174694491330173
JP_CPI,0.0017986812174840367
MA_gap_20,0.0015043963329872375
US_3M,0.0011115573632070434
Output_Gap,0.0010360881311689803
BBW_20,0.0009306562308818841
GER_10Y,0.000851489020845351
JP_10Y,0.0008505962254568393
CN_10Y,0.0008227379577749926
VIX,0.0007126232233288935
UK_3M,0.0006548463747379288
US_TermSpread,0.0006092108788548446
GER_3M,0.0005939591981680278
UK_TermSpread,0.0005784027689256302
GER_TermSpread,0.000532359222570185
UK_10Y,0.00042933850862389867
MA_gap_5,0.00041467731214488244
BBW_5,0.0002003555696255396
USD_CNY,0.00011385593549044504
ret_lag_20,9.259289563335726e-05
ret_lag_1,8.416344977394286e-05
USD_GBP,7.43732426886105e-05
ret_lag_2,6.79965826944776e-05
ret_lag_5,6.640621478128366e-05
UK_Mkt_Index,5.779472273265574e-05
JP_Mkt_Index,5.07701021355356e-05
WTI,4.966141246695935e-05
CN_Mkt_Index,4.401754198665817e-05
USD_JPY,4.0551827414220254e-05
ret_lag_10,4.0480075405641656e-05
US_Mkt_Index,3.8020052309778625e-05
USD_EUR,3.763999956440684e-05
USD_Futures,3.58766965630657e-05
HK_Mkt_Index,3.554927966514278e-05
GER_Mkt_Index,3.2142961226796704e-05
GOLD,3.0777880139542906e-05
EPU_D,1.457923011030822e-05
