feature,importance
US_Mkt_Index,6.89E-05
USD_EUR,1.80E-05
Euro_CPI,1.73E-05
US_CPI,9.97E-06
USD_GBP,9.95E-06
ret_lag_5,9.10E-06
MA_gap_5,7.62E-06
ret_lag_2,6.97E-06
JP_CPI,6.73E-06
ret_lag_10,6.08E-06
CN_CPI,5.32E-06
MA_gap_20,4.45E-06
JP_Mkt_Index,4.18E-06
USD_Futures,3.89E-06
USD_CNY,3.68E-06
HK_Mkt_Index,3.53E-06
ret_lag_1,3.49E-06
BBW_5,3.27E-06
MA_gap_60,2.99E-06
VIX,2.79E-06
US_10Y,2.65E-06
WTI,2.12E-06
GER_Mkt_Index,1.39E-06
UK_Mkt_Index,1.29E-06
GER_10Y,1.10E-06
GOLD,9.78E-07
BBW_20,9.41E-07
CN_Mkt_Index,7.86E-07
EPU_D,7.38E-07
US_TermSpread,6.91E-07
BBW_60,4.87E-07
GER_3M,4.35E-07
USD_JPY,3.75E-07
UK_10Y,2.60E-07
US_3M,2.42E-07
Output_Gap,2.22E-07
ret_lag_20,1.68E-07
UK_3M,1.54E-07
JP_10Y,1.23E-07
GER_TermSpread,7.13E-08
UK_TermSpread,5.75E-08
CN_10Y,0
GDP,0
