feature,importance
USD_EUR,0.00022807083562468688
US_Mkt_Index,0.00018130500914714773
JP_CPI,0.00016397617400039854
USD_Futures,0.0001606551005417111
US_CPI,0.00015141064320215047
ret_lag_1,0.00010060701774574234
BBW_20,8.154246769995374e-05
VIX,8.054772502416394e-05
Euro_CPI,7.480437661563245e-05
US_TermSpread,7.033027403765601e-05
GOLD,6.0459680352031824e-05
ret_lag_2,5.439601490647207e-05
JP_Mkt_Index,5.400955829905447e-05
ret_lag_5,5.159440792490957e-05
MA_gap_20,5.048177126617972e-05
USD_GBP,5.004101701300135e-05
HK_Mkt_Index,4.975432859098826e-05
ret_lag_10,4.771447528047914e-05
MA_gap_5,4.703168312095872e-05
USD_JPY,4.628382603694401e-05
MA_gap_60,4.6165745533060616e-05
USD_CNY,4.246960805193539e-05
GER_Mkt_Index,4.173445418161433e-05
ret_lag_20,3.657923350589191e-05
CN_CPI,3.56589483589861e-05
BBW_60,3.536260019383709e-05
BBW_5,3.366940848544783e-05
WTI,3.3643827700569985e-05
EPU_D,3.259976896102793e-05
UK_Mkt_Index,2.958344818421584e-05
CN_Mkt_Index,2.5153230890477654e-05
US_10Y,2.209496920226353e-05
Output_Gap,1.7876480243583276e-05
JP_10Y,1.6485725695684042e-05
US_3M,1.3500399846734976e-05
GER_3M,1.2559607516526837e-05
UK_TermSpread,1.1424110214250118e-05
GER_TermSpread,1.0546017269076853e-05
GER_10Y,1.023862944673783e-05
UK_10Y,6.9665187093559225e-06
UK_3M,6.861713359833046e-06
CN_10Y,4.274013406452616e-06
GDP,3.0817903011696164e-06
