feature,importance
US_Mkt_Index,7.538488694708474e-06
UK_10Y,6.382035481733092e-06
USD_JPY,3.7213453423345227e-06
UK_3M,3.3639498187324965e-06
MA_gap_5,2.8984701266904916e-06
GER_TermSpread,2.5516305645310877e-06
ret_lag_10,2.0634516348910087e-06
ret_lag_2,2.0552207419064633e-06
US_3M,1.1608538730886048e-06
US_10Y,8.382208522127871e-07
MA_gap_60,7.129690315415757e-07
USD_GBP,6.618348435735028e-07
ret_lag_5,4.914560656254022e-07
Output_Gap,4.822305726698978e-07
MA_gap_20,3.8052147169429645e-07
USD_EUR,2.7207037435385967e-07
US_TermSpread,1.1155537464353077e-07
GER_3M,-1.4380296245539853e-07
USD_CNY,-2.75399350309867e-07
GER_Mkt_Index,-2.8356422782007534e-07
EPU_D,-4.3449581160585893e-07
ret_lag_20,-7.715609620703029e-07
UK_TermSpread,-7.807219027959264e-07
JP_Mkt_Index,-8.215375649055917e-07
CN_10Y,-1.0375811220920267e-06
BBW_20,-1.0914285818973413e-06
GDP,-1.1492812105086403e-06
VIX,-1.1609669057265418e-06
CN_CPI,-1.32009479802183e-06
CN_Mkt_Index,-1.48847491228659e-06
ret_lag_1,-1.600243216113087e-06
GOLD,-1.649138033918765e-06
WTI,-1.7239835077929172e-06
GER_10Y,-1.8589592363027832e-06
JP_CPI,-2.5734425640865782e-06
USD_Futures,-2.798940642255096e-06
US_CPI,-2.8468150501661724e-06
Euro_CPI,-3.055298197553527e-06
BBW_60,-3.1408511279489362e-06
UK_Mkt_Index,-3.395214430984908e-06
HK_Mkt_Index,-3.716072120711275e-06
BBW_5,-4.128659685589953e-06
JP_10Y,-4.152739730251334e-06
