feature,importance
Euro_CPI,0.001327667823299409
US_10Y,0.0011551499789335812
US_CPI,0.0008613678978612316
US_3M,0.0005257023537645622
CN_CPI,0.0003692489927288739
JP_CPI,0.00031019548656254295
GDP,0.0002889686616237633
GER_10Y,0.0002804815084297349
JP_10Y,0.0002740432462468162
UK_3M,0.00019093773827093957
GER_3M,0.00016230599061645146
US_TermSpread,0.00014692883204072207
UK_10Y,0.0001429399396042641
Output_Gap,0.0001414515623274909
UK_TermSpread,0.00012347257178442136
GER_TermSpread,0.00011267010167674563
MA_gap_60,0.00010842736046036416
BBW_60,0.00010712534990216238
VIX,8.636111355539433e-05
CN_10Y,8.558216276230435e-05
BBW_20,5.350302268323365e-05
MA_gap_20,3.24353291743934e-05
BBW_5,1.0002970376257053e-05
MA_gap_5,5.75506150041899e-06
USD_Futures,4.877514624287982e-06
ret_lag_1,2.9776886393204083e-06
ret_lag_20,2.9706056154585325e-06
HK_Mkt_Index,2.889529860588408e-06
JP_Mkt_Index,2.8098406572307777e-06
USD_CNY,2.772621028431649e-06
USD_GBP,2.510580621607056e-06
GOLD,2.2478201592047997e-06
ret_lag_2,2.0377715114379413e-06
USD_EUR,1.9373695084243248e-06
UK_Mkt_Index,1.7486864642562994e-06
GER_Mkt_Index,1.7459025096373815e-06
US_Mkt_Index,1.5705202796832685e-06
CN_Mkt_Index,1.4936339518441255e-06
WTI,9.212130133995355e-07
ret_lag_10,7.051854614276154e-07
ret_lag_5,5.813392004519469e-07
USD_JPY,3.3666212050087463e-07
EPU_D,2.80745105305652e-07
