feature,importance
US_CPI,0.0009079806651798965
Euro_CPI,0.0007886534910003865
ret_lag_1,0.00027429662987353554
USD_EUR,0.00023059901393852889
USD_Futures,0.00010729704377623363
JP_10Y,9.766231343640887e-05
VIX,5.457880599039379e-05
US_10Y,4.710788129148012e-05
US_3M,4.509908037016869e-05
GER_3M,2.4850266391823403e-05
BBW_60,2.376572149158547e-05
UK_10Y,1.9230551476344046e-05
CN_Mkt_Index,1.7468569031106607e-05
UK_3M,1.6788950200947658e-05
JP_Mkt_Index,1.498080445622163e-05
USD_JPY,1.2229453791206754e-05
MA_gap_5,9.52839359863282e-06
GER_10Y,8.879427345684712e-06
USD_GBP,3.6250776154333336e-06
MA_gap_60,3.5073331888912235e-06
US_Mkt_Index,1.899422711939755e-06
CN_CPI,1.7868612123463773e-06
ret_lag_20,8.896637478435915e-07
MA_gap_20,7.87387337445461e-07
ret_lag_2,3.837708379330479e-07
GDP,3.6089287039180185e-07
BBW_20,2.2925727310475763e-07
Output_Gap,1.0485414635684476e-07
GER_Mkt_Index,7.702947628883405e-08
EPU_D,2.0198787272981966e-08
USD_CNY,5.6376356031423436e-09
ret_lag_10,-2.5220253351346256e-07
US_TermSpread,-5.893016384629635e-07
JP_CPI,-7.158105825039868e-07
ret_lag_5,-7.354038503420285e-07
UK_Mkt_Index,-1.3424437406584638e-06
CN_10Y,-2.9943115716704605e-06
GOLD,-3.363717034021718e-06
GER_TermSpread,-6.870859258026676e-06
UK_TermSpread,-8.616167115255147e-06
WTI,-1.0654206697493021e-05
BBW_5,-1.6366894910373533e-05
HK_Mkt_Index,-1.9199940542858132e-05
