feature,importance
US_CPI,0.000475173
Euro_CPI,0.000398924
US_10Y,0.000202207
JP_CPI,0.000179674
US_3M,0.000167301
JP_10Y,9.74E-05
CN_CPI,9.27E-05
GDP,8.96E-05
BBW_60,8.92E-05
GER_3M,8.03E-05
UK_TermSpread,7.63E-05
US_TermSpread,6.59E-05
UK_3M,6.23E-05
BBW_20,6.05E-05
UK_10Y,5.36E-05
Output_Gap,5.18E-05
MA_gap_60,5.09E-05
VIX,4.46E-05
GER_TermSpread,4.38E-05
MA_gap_20,3.96E-05
GER_10Y,3.59E-05
CN_10Y,3.04E-05
JP_Mkt_Index,1.17E-05
GER_Mkt_Index,9.27E-06
MA_gap_5,7.10E-06
BBW_5,6.91E-06
USD_EUR,4.14E-06
USD_CNY,4.04E-06
GOLD,2.58E-06
ret_lag_20,2.55E-06
WTI,2.45E-06
HK_Mkt_Index,2.43E-06
USD_JPY,2.18E-06
USD_GBP,1.94E-06
ret_lag_2,1.64E-06
ret_lag_1,1.37E-06
USD_Futures,1.32E-06
UK_Mkt_Index,1.27E-06
ret_lag_5,1.12E-06
CN_Mkt_Index,1.02E-06
ret_lag_10,7.70E-07
EPU_D,2.82E-07
US_Mkt_Index,-4.65E-07
