feature,importance
Euro_CPI,0.004987176
US_CPI,0.004915997
US_10Y,0.000911715
JP_10Y,0.00068664
US_3M,0.000552051
VIX,0.000467721
GER_3M,0.000460222
GER_10Y,7.67E-05
ret_lag_1,6.78E-05
USD_EUR,6.64E-05
CN_CPI,5.94E-05
BBW_60,4.86E-05
USD_JPY,3.87E-05
UK_3M,3.77E-05
CN_Mkt_Index,3.19E-05
USD_Futures,1.13E-05
ret_lag_10,8.05E-06
JP_Mkt_Index,2.71E-06
US_Mkt_Index,2.56E-06
USD_GBP,1.43E-06
ret_lag_20,2.61E-07
EPU_D,-9.44E-09
ret_lag_5,-1.94E-07
ret_lag_2,-4.11E-07
CN_10Y,-1.02E-06
Output_Gap,-1.19E-06
UK_Mkt_Index,-1.23E-06
MA_gap_5,-2.12E-06
GOLD,-2.53E-06
MA_gap_20,-3.16E-06
GER_Mkt_Index,-3.59E-06
USD_CNY,-6.24E-06
MA_gap_60,-7.09E-06
US_TermSpread,-9.73E-06
GDP,-1.23E-05
WTI,-1.59E-05
UK_10Y,-1.92E-05
HK_Mkt_Index,-2.37E-05
UK_TermSpread,-2.86E-05
GER_TermSpread,-6.78E-05
JP_CPI,-7.38E-05
BBW_5,-8.82E-05
BBW_20,-0.000130803
