feature,importance
US_CPI,0.000128556
Euro_CPI,0.00010516
US_10Y,9.21E-05
JP_CPI,8.34E-05
US_3M,4.08E-05
US_TermSpread,2.72E-05
BBW_20,2.61E-05
GER_10Y,2.32E-05
GER_3M,2.26E-05
MA_gap_20,2.16E-05
VIX,2.08E-05
MA_gap_60,1.93E-05
BBW_60,1.92E-05
JP_10Y,1.89E-05
Output_Gap,1.87E-05
CN_CPI,1.77E-05
UK_TermSpread,1.69E-05
UK_10Y,1.59E-05
UK_3M,1.46E-05
GER_TermSpread,1.45E-05
GDP,1.40E-05
BBW_5,1.28E-05
CN_10Y,9.71E-06
JP_Mkt_Index,9.24E-06
GER_Mkt_Index,9.10E-06
HK_Mkt_Index,7.41E-06
USD_CNY,5.96E-06
USD_GBP,5.33E-06
MA_gap_5,5.11E-06
ret_lag_1,4.76E-06
USD_Futures,4.45E-06
UK_Mkt_Index,4.00E-06
USD_EUR,3.92E-06
ret_lag_2,3.39E-06
GOLD,3.24E-06
ret_lag_5,2.82E-06
ret_lag_20,2.18E-06
CN_Mkt_Index,2.13E-06
USD_JPY,1.93E-06
WTI,1.87E-06
ret_lag_10,1.57E-06
EPU_D,8.68E-07
US_Mkt_Index,-3.14E-06
