feature,importance
US_Mkt_Index,9.50E-05
USD_EUR,7.24E-05
JP_CPI,5.89E-05
BBW_5,4.18E-05
USD_Futures,2.53E-05
Euro_CPI,2.48E-05
USD_CNY,2.25E-05
ret_lag_2,2.17E-05
US_CPI,1.88E-05
MA_gap_5,1.87E-05
USD_GBP,1.63E-05
MA_gap_20,1.55E-05
ret_lag_5,1.52E-05
ret_lag_1,1.51E-05
UK_Mkt_Index,1.46E-05
HK_Mkt_Index,1.45E-05
JP_Mkt_Index,1.21E-05
ret_lag_10,1.07E-05
VIX,9.74E-06
MA_gap_60,9.15E-06
BBW_20,8.81E-06
US_10Y,8.16E-06
WTI,5.91E-06
USD_JPY,5.81E-06
CN_CPI,5.53E-06
BBW_60,5.09E-06
GER_Mkt_Index,4.98E-06
EPU_D,4.76E-06
ret_lag_20,4.44E-06
UK_10Y,2.89E-06
GOLD,2.23E-06
CN_Mkt_Index,2.10E-06
Output_Gap,2.02E-06
GER_10Y,1.74E-06
UK_TermSpread,1.48E-06
US_TermSpread,1.03E-06
GER_3M,9.44E-07
US_3M,6.69E-07
GDP,5.56E-07
JP_10Y,3.28E-07
CN_10Y,2.79E-07
UK_3M,2.75E-07
GER_TermSpread,7.59E-08
