feature,importance
US_CPI,0.000642037358884108
Euro_CPI,0.00046518325745790144
USD_CNY,0.00016828444207000158
VIX,0.00013209477740169263
MA_gap_20,0.00011124824839888262
JP_CPI,0.00010269471535912997
GER_TermSpread,0.0001021273623088969
MA_gap_60,9.655258509284545e-05
JP_10Y,9.549375587345268e-05
USD_Futures,8.471894376448595e-05
ret_lag_1,7.78403687374165e-05
USD_GBP,7.456939927024536e-05
US_Mkt_Index,7.39131915402421e-05
MA_gap_5,7.104706017022587e-05
HK_Mkt_Index,6.8714732230548e-05
US_3M,6.804357036913587e-05
BBW_20,6.281174912154373e-05
EPU_D,6.210630369324864e-05
JP_Mkt_Index,5.705040400475793e-05
GOLD,5.6036209865254274e-05
BBW_60,5.478704831873675e-05
UK_3M,5.358994455075851e-05
USD_JPY,4.9523975398214556e-05
US_TermSpread,4.488889183604933e-05
USD_EUR,4.4541957770864726e-05
ret_lag_5,4.144708377028239e-05
CN_10Y,3.919314729604155e-05
ret_lag_10,3.8746085887202825e-05
CN_Mkt_Index,3.6071506065698394e-05
ret_lag_2,3.1658646210016433e-05
GDP,3.0191189990431966e-05
BBW_5,2.9862664242090442e-05
GER_3M,2.97512382001746e-05
WTI,2.7823777176793144e-05
UK_10Y,2.517779587921619e-05
US_10Y,2.3739931013705418e-05
GER_10Y,2.0676020026077005e-05
UK_TermSpread,1.959889853612312e-05
ret_lag_20,1.5995762391144558e-05
GER_Mkt_Index,1.5251140724481527e-05
CN_CPI,6.08326209383149e-06
Output_Gap,6.52021746714096e-07
UK_Mkt_Index,-6.307862968148864e-06
