feature,importance
Euro_CPI,0.002765186023879018
US_CPI,0.0022884940747618394
USD_CNY,0.0006801685078811973
UK_3M,0.0006287720426674109
JP_10Y,0.0005210394751879507
MA_gap_20,0.00048002269640877275
USD_JPY,0.00046219469048527397
JP_CPI,0.00045789702408159834
VIX,0.0004340076943906944
MA_gap_60,0.0004173899406477305
USD_GBP,0.00030367380232063784
USD_EUR,0.00028985947510535084
US_Mkt_Index,0.0002855908637209026
US_3M,0.0002840133893112218
US_10Y,0.00028105884560457317
BBW_60,0.0002583554566576319
JP_Mkt_Index,0.0002504632939072243
ret_lag_5,0.0002504129737548131
GOLD,0.000245554293013258
CN_Mkt_Index,0.0002365105234380608
ret_lag_20,0.0002353531855351157
UK_10Y,0.00023416575996326565
BBW_20,0.00022698134993919504
EPU_D,0.0002125169718969512
GER_3M,0.0001902149866627248
USD_Futures,0.00018849925492206258
CN_10Y,0.00018201392625988473
WTI,0.00017549444325694677
BBW_5,0.00017247881385313267
ret_lag_1,0.0001672980422025086
GER_TermSpread,0.00015332278626691703
GER_10Y,0.0001528239456864526
MA_gap_5,0.0001229766357849285
UK_TermSpread,0.00011239044962207435
ret_lag_2,0.00010929009930446196
ret_lag_10,8.424676344982729e-05
US_TermSpread,7.70019799233232e-05
HK_Mkt_Index,7.021441849741107e-05
GER_Mkt_Index,6.780507016190124e-05
UK_Mkt_Index,6.730794257019806e-05
GDP,3.683442141993315e-05
Output_Gap,-2.3019232486820584e-06
CN_CPI,-1.3225893361163213e-05
