feature,importance
Euro_CPI,0.002257171
US_10Y,0.000601786
JP_CPI,0.000585068
US_CPI,0.000528465
CN_CPI,0.000263876
Output_Gap,0.000224703
UK_TermSpread,0.000123865
UK_10Y,0.000118621
US_3M,0.000103408
GDP,9.68E-05
US_TermSpread,6.71E-05
MA_gap_60,6.64E-05
JP_10Y,4.73E-05
UK_3M,4.53E-05
CN_10Y,3.12E-05
GER_3M,1.37E-05
GER_10Y,8.96E-06
MA_gap_20,5.53E-06
VIX,5.02E-06
GER_TermSpread,2.28E-06
BBW_20,1.16E-06
MA_gap_5,3.74E-08
USD_Futures,0
USD_EUR,0
USD_GBP,0
USD_CNY,0
USD_JPY,0
JP_Mkt_Index,0
GER_Mkt_Index,0
UK_Mkt_Index,0
US_Mkt_Index,0
WTI,0
GOLD,0
CN_Mkt_Index,0
HK_Mkt_Index,0
BBW_5,0
EPU_D,0
ret_lag_1,0
ret_lag_20,0
ret_lag_5,0
ret_lag_2,0
ret_lag_10,0
BBW_60,-1.59E-05
