feature,importance
USD_EUR,0.00031724
USD_Futures,0.000219529
ret_lag_1,0.000108159
US_Mkt_Index,7.55E-05
US_CPI,7.13E-05
Euro_CPI,5.60E-05
MA_gap_5,2.50E-05
USD_JPY,2.28E-05
USD_GBP,1.53E-05
GER_TermSpread,9.52E-06
CN_Mkt_Index,5.96E-06
VIX,5.60E-06
ret_lag_10,4.76E-06
US_10Y,2.83E-06
BBW_60,2.61E-06
GER_Mkt_Index,1.81E-06
US_3M,1.63E-06
MA_gap_60,1.55E-06
UK_10Y,1.41E-06
JP_10Y,1.41E-06
JP_Mkt_Index,1.40E-06
GER_3M,1.34E-06
BBW_20,6.30E-07
UK_3M,5.61E-07
US_TermSpread,4.45E-07
ret_lag_20,2.65E-07
MA_gap_20,1.59E-07
CN_10Y,1.48E-07
GER_10Y,8.63E-08
WTI,7.38E-08
GDP,5.03E-08
Output_Gap,3.35E-08
CN_CPI,-9.49E-09
ret_lag_5,-1.22E-08
EPU_D,-1.23E-07
USD_CNY,-1.54E-07
JP_CPI,-2.77E-07
UK_TermSpread,-1.18E-06
UK_Mkt_Index,-1.23E-06
ret_lag_2,-1.74E-06
GOLD,-2.47E-06
BBW_5,-3.19E-06
HK_Mkt_Index,-3.29E-06
