feature,importance
US_Mkt_Index,7.06E-05
USD_GBP,1.28E-05
Euro_CPI,7.74E-06
USD_EUR,5.51E-06
ret_lag_5,4.73E-06
ret_lag_1,4.31E-06
US_CPI,2.91E-06
HK_Mkt_Index,2.81E-06
MA_gap_60,2.46E-06
MA_gap_5,2.35E-06
GER_Mkt_Index,1.99E-06
US_10Y,1.97E-06
BBW_5,1.78E-06
GOLD,1.42E-06
ret_lag_10,1.38E-06
UK_Mkt_Index,1.35E-06
MA_gap_20,1.34E-06
USD_CNY,1.08E-06
ret_lag_2,1.05E-06
USD_Futures,1.02E-06
JP_CPI,9.21E-07
USD_JPY,9.07E-07
BBW_20,9.04E-07
JP_Mkt_Index,8.65E-07
CN_CPI,8.40E-07
ret_lag_20,6.22E-07
WTI,5.52E-07
CN_Mkt_Index,5.44E-07
EPU_D,5.18E-07
BBW_60,5.07E-07
UK_10Y,3.76E-07
VIX,3.53E-07
US_3M,3.14E-07
UK_3M,3.09E-07
JP_10Y,2.79E-07
UK_TermSpread,2.74E-07
GDP,2.62E-07
GER_10Y,2.57E-07
CN_10Y,2.52E-07
US_TermSpread,2.50E-07
GER_3M,2.11E-07
GER_TermSpread,1.75E-07
Output_Gap,2.76E-08
