feature,importance
US_10Y,0.005245946
Euro_CPI,0.004450051
BBW_60,0.003245809
US_CPI,0.002445581
MA_gap_60,0.002441583
CN_CPI,0.002341372
GDP,0.002174694
JP_CPI,0.001798681
MA_gap_20,0.001504396
US_3M,0.001111557
Output_Gap,0.001036088
BBW_20,0.000930656
GER_10Y,0.000851489
JP_10Y,0.000850596
CN_10Y,0.000822738
VIX,0.000712623
UK_3M,0.000654846
US_TermSpread,0.000609211
GER_3M,0.000593959
UK_TermSpread,0.000578403
GER_TermSpread,0.000532359
UK_10Y,0.000429339
MA_gap_5,0.000414677
BBW_5,0.000200356
USD_CNY,0.000113856
ret_lag_20,9.26E-05
ret_lag_1,8.42E-05
USD_GBP,7.44E-05
ret_lag_2,6.80E-05
ret_lag_5,6.64E-05
UK_Mkt_Index,5.78E-05
JP_Mkt_Index,5.08E-05
WTI,4.97E-05
CN_Mkt_Index,4.40E-05
USD_JPY,4.06E-05
ret_lag_10,4.05E-05
US_Mkt_Index,3.80E-05
USD_EUR,3.76E-05
USD_Futures,3.59E-05
HK_Mkt_Index,3.55E-05
GER_Mkt_Index,3.21E-05
GOLD,3.08E-05
EPU_D,1.46E-05
