feature,importance
US_CPI,0.000373117
JP_CPI,0.000333884
MA_gap_20,0.000193125
Euro_CPI,0.000178215
BBW_20,0.000173266
Output_Gap,0.000105895
VIX,0.00010255
US_10Y,0.000101171
BBW_60,5.11E-05
MA_gap_60,4.23E-05
UK_TermSpread,3.77E-05
UK_10Y,3.72E-05
CN_CPI,3.38E-05
US_TermSpread,3.06E-05
GER_Mkt_Index,2.55E-05
BBW_5,1.53E-05
US_3M,1.45E-05
MA_gap_5,1.07E-05
JP_10Y,9.73E-06
HK_Mkt_Index,8.31E-06
GER_10Y,8.03E-06
GDP,5.36E-06
UK_Mkt_Index,3.71E-06
CN_10Y,2.60E-06
ret_lag_20,1.99E-06
ret_lag_1,1.61E-06
UK_3M,8.39E-07
WTI,5.14E-07
GER_3M,4.48E-07
USD_GBP,2.64E-07
USD_EUR,1.42E-07
USD_JPY,0
USD_Futures,0
USD_CNY,0
US_Mkt_Index,0
ret_lag_2,0
JP_Mkt_Index,0
EPU_D,0
CN_Mkt_Index,0
ret_lag_10,0
GOLD,-2.40E-07
ret_lag_5,-2.54E-07
GER_TermSpread,-1.01E-06
